track_id,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,genre
TRAXALK128F1462FF7,185.7824,0.352,11,0.698,-10.316,1,0.65,175.177,101.04,4,1.0,0
TRAHTZN128F421A41F,208.14322,0.259,0,0.717,-5.384,1,0.675,199.262,140.595,4,0.463,0
TRAZWGV128F425DA7C,227.57832,2.682,0,0.463,-7.695,0,0.498,216.474,96.068,4,0.463,0
TRACISV12903D13877,138.4224,0.125,9,0.609,-4.994,0,0.357,132.737,201.951,4,0.286,0
TRAEUCH128F427FA5E,197.0673,0.293,9,0.0,-20.832,1,0.132,189.684,116.539,4,1.0,0
TRATMAW128F427F988,244.29669,0.0,2,0.374,-7.625,1,0.587,227.196,117.993,4,0.388,0
TRASRBP12903CA768B,135.78404,0.252,3,0.553,-9.713,1,0.569,131.582,171.527,4,0.0,0
TRAQZMQ12903CB7E9D,114.62485,0.073,5,0.576,-7.356,1,0.531,111.02,96.622,4,0.346,0
TRAONPF128F42480A7,217.28608,0.571,11,0.383,-4.35,0,0.438,203.976,94.007,4,0.623,0
TRAGKLF128F9315B67,141.47873,0.188,2,0.536,-11.852,1,0.534,138.112,120.546,4,0.93,0
TRATJXC128F93124CE,270.62812,0.0,6,0.627,-17.864,1,0.658,266.217,165.76,4,0.0,0
TRAJWGG12903CB81AF,173.97506,0.131,7,0.503,-9.329,1,0.59,165.727,140.9,1,0.0,0
TRBHLRS128F92E9D69,144.16934,0.549,2,0.779,-18.865,1,0.665,131.053,133.838,4,1.0,0
TRADNRG128F426F18C,184.65914,1.315,0,0.194,-11.537,1,0.406,170.237,119.963,1,0.228,0
TRAPQMG128F930DEC3,182.282,0.154,7,0.573,-13.995,1,0.635,174.295,133.792,1,0.0,0
TRAMFRD128E07833DA,166.24281,0.247,1,0.24,-10.915,1,0.416,158.163,139.981,3,0.069,0
TRAURFD12903CBA5DD,97.69751,0.395,10,0.545,-16.102,1,0.65,90.523,106.317,4,0.869,0
TRAVJRC128F425D474,181.60281,2.833,2,1.0,-17.198,1,0.951,170.736,168.248,4,0.0,0
TRAPFLR128F92FAB4D,178.57261,2.09,1,0.177,-10.111,0,0.322,173.854,192.89,1,0.0,0
TRAUTXO128F4263C8E,161.48853,0.363,8,0.965,-13.797,1,0.824,154.285,79.181,3,1.0,0
TRAXPJU128F148ADE8,239.56853,0.0,11,1.0,-7.324,1,1.0,226.424,79.534,4,0.325,0
TRAHXEG128F428F1EC,231.33995,0.439,9,0.4,-9.018,1,0.552,218.767,88.942,4,0.835,0
TRBCWGM128F428D6FD,151.58812,0.182,6,0.385,-14.547,0,0.462,144.353,91.632,4,0.0,0
TRBHSJB12903CB81AA,171.67628,0.321,11,1.0,-8.473,1,0.925,164.061,208.567,4,0.0,0
TRBFMGQ128F931E0A0,258.89914,0.285,2,0.958,-15.835,1,0.793,246.851,156.507,3,0.0,0
