track_id,duration,end_of_fade_in,loudness,start_of_fade_out,tempo,genre
TRAXALK128F1462FF7,185.7824,0.352,-10.316,175.177,101.04,0
TRAHTZN128F421A41F,208.14322,0.259,-5.384,199.262,140.595,0
TRAZWGV128F425DA7C,227.57832,2.682,-7.695,216.474,96.068,0
TRACISV12903D13877,138.4224,0.125,-4.994,132.737,201.951,0
TRAEUCH128F427FA5E,197.0673,0.293,-20.832,189.684,116.539,0
TRATMAW128F427F988,244.29669,0.0,-7.625,227.196,117.993,0
TRASRBP12903CA768B,135.78404,0.252,-9.713,131.582,171.527,0
TRAQZMQ12903CB7E9D,114.62485,0.073,-7.356,111.02,96.622,0
TRAONPF128F42480A7,217.28608,0.571,-4.35,203.976,94.007,0
TRAGKLF128F9315B67,141.47873,0.188,-11.852,138.112,120.546,0
TRATJXC128F93124CE,270.62812,0.0,-17.864,266.217,165.76,0
TRAJWGG12903CB81AF,173.97506,0.131,-9.329,165.727,140.9,0
TRBHLRS128F92E9D69,144.16934,0.549,-18.865,131.053,133.838,0
TRADNRG128F426F18C,184.65914,1.315,-11.537,170.237,119.963,0
TRAPQMG128F930DEC3,182.282,0.154,-13.995,174.295,133.792,0
TRAMFRD128E07833DA,166.24281,0.247,-10.915,158.163,139.981,0
TRAURFD12903CBA5DD,97.69751,0.395,-16.102,90.523,106.317,0
TRAVJRC128F425D474,181.60281,2.833,-17.198,170.736,168.248,0
TRAPFLR128F92FAB4D,178.57261,2.09,-10.111,173.854,192.89,0
TRAUTXO128F4263C8E,161.48853,0.363,-13.797,154.285,79.181,0
TRAXPJU128F148ADE8,239.56853,0.0,-7.324,226.424,79.534,0
TRAHXEG128F428F1EC,231.33995,0.439,-9.018,218.767,88.942,0
TRBCWGM128F428D6FD,151.58812,0.182,-14.547,144.353,91.632,0
TRBHSJB12903CB81AA,171.67628,0.321,-8.473,164.061,208.567,0
TRBFMGQ128F931E0A0,258.89914,0.285,-15.835,246.851,156.507,0
TRAVHIA128F1494B0C,146.02404,0.462,-15.911,135.372,144.538,0
TRAYKCV128F9341943,171.80689,0.0,-15.149,164.937,168.897,0
TRAGJQL128E078E840,278.54322,0.0,-11.958,266.437,82.789,0
TRAUGVF128F92EFCF8,169.63873,0.154,-14.257,162.923,123.531,0
TRAWMTG12903CDE042,165.61587,0.311,-20.779,160.415,96.801,0
TRBDMAU128F935960B,149.62893,0.148,-9.838,145.502,202.358,0
TRAJXUS128F9309CEE,157.49179,0.0,-18.692,151.748,182.408,0
TRALOBQ128F428AB9E,153.49506,0.328,-10.487,148.236,98.663,0
TRABFGJ12903CF6A75,166.16444,0.99,-14.014,160.403,157.779,0
TRADBBM128F930DC49,182.67383,0.119,-18.118,171.77,185.246,0
TRAKFQV128F145C912,201.63873,0.295,-14.586,179.096,105.966,0
TRBBLFA12903CDC496,168.72444,0.0,-13.601,160.583,74.894,0
TRANTCK128F428AC39,125.85751,0.311,-19.115,115.63,104.793,0
TRAWULX128F4291255,349.33506,0.659,-10.271,331.5,127.434,0
TRALKHJ128F92E9D36,124.52526,0.57,-18.57,114.619,163.942,0
TRAGUAA128F4291AB1,135.07873,0.241,-18.169,128.575,118.472,0
TRAPQEB12903D05C36,102.37342,0.398,-11.106,94.993,78.188,0
TRAEEMP128F92F4B9C,114.31138,0.142,-10.261,107.735,221.858,0
TRBHUVB128F148ADB8,226.2722,0.276,-9.344,219.028,124.693,0
TRAQWJZ128F4243C9B,312.5024,0.466,-11.393,303.787,103.327,0
TRAOPAR128F92EFD17,142.94159,0.136,-13.524,134.455,104.943,0
TRAPMTY128F1459DA1,207.93424,0.38,-5.628,203.378,87.029,0
TRACDCZ128F4285AE0,146.83383,2.241,-13.12,140.707,90.61,0
TRAVESV12903CEDEDA,235.80689,0.657,-9.139,227.08,176.591,0
TRAZZIP128F429BF42,181.41995,0.206,-10.427,172.71,119.324,0
TRAICRD12903CDE044,171.4673,0.0,-13.683,165.965,88.314,0
TRBHNCL12903CB6CAA,251.79383,0.309,-12.378,245.023,108.153,0
TRALIEV128F92DE23C,245.78567,0.107,-4.954,232.2,167.97,0
TRAMEXS128F427FFAE,167.65342,0.0,-8.999,167.653,190.485,0
TRAZTEK128F145C90E,202.52689,0.28,-10.008,190.369,129.266,0
TRAHQHC128F42A77D8,137.42975,0.276,-15.987,132.122,86.197,0
TRATGQQ128F9314185,238.57587,0.0,-13.7,223.631,148.524,0
TRBHAFV128F425D48E,232.51546,2.165,-15.497,225.837,104.346,0
TRAOAYQ128F428A098,229.45914,0.189,-8.705,213.49,163.969,0
TRAQITZ128F4265E0E,162.29832,2.206,-10.06,156.415,170.995,0
TRBDFCT128F4285E05,187.53261,2.949,-16.692,181.441,87.192,0
TRAJBSL128F428A021,145.13587,0.345,-12.653,141.038,91.318,0
TRBATEY128F4285370,143.82975,0.316,-11.366,137.77,150.439,0
TRBEJHQ128F421EFD2,164.12689,0.461,-17.876,157.077,96.859,0
TRAAGOH128F42593CE,194.11546,0.089,-15.581,182.729,82.343,0
TRAUKLO128F4256A09,126.95465,0.398,-13.159,119.171,95.95,0
TRBEGKI12903CBD34C,152.97261,0.165,-11.947,149.49,94.513,0
TRAHQKV12903CB6CA9,46.21016,0.311,-15.912,46.21,142.782,0
TRAHCRI128F4255C6E,254.58893,1.221,-16.261,246.044,142.479,0
TRAXMLO128F933BC5E,87.64036,0.0,-17.588,79.18,142.48,0
TRBFANQ12903CB8F48,183.17016,0.276,-14.668,176.216,180.521,0
TRAEBKD12903D00D5C,183.53587,0.296,-6.601,175.984,174.268,0
TRACJWY12903CB7DBF,194.37669,0.0,-11.663,186.746,74.809,0
TRARCNN12903CD5262,167.00036,0.154,-14.406,157.983,187.128,0
TRANZCY128F4243C80,209.34485,0.402,-9.825,199.883,123.836,0
TRANVKJ128F92F1561,263.49669,2.322,-8.163,249.446,141.171,0
TRAPMRV128F92F5F4C,201.16853,0.607,-7.279,187.548,153.447,0
TRAYXZF128F425D645,216.81587,0.0,-6.021,208.149,115.62,0
TRBELIO128F428F322,90.69669,1.059,-9.282,85.566,130.752,0
TRAAGPF12903CE027E,195.91791,0.165,-11.98,192.087,91.487,0
TRAQYZO12903CB818E,198.63465,0.297,-8.61,189.812,163.92,0
TRASMFP128F427FFA8,37.77261,0.0,-12.316,35.033,107.597,0
TRADNRG128F4295A0E,232.64608,0.098,-19.991,224.804,74.665,0
TRALEVU128F4249BEB,147.82649,0.0,-15.965,143.331,168.879,0
TRADGIX128F9315B2D,176.56118,0.107,-5.864,167.172,223.34,0
TRAEHOI12903CD02C8,252.682,2.328,-12.239,246.236,112.781,0
TRAYLQT128F425A4A6,154.8273,0.185,-14.535,147.772,67.863,0
TRABZCL128E0789AED,290.97751,0.177,-15.546,258.885,121.773,0
TRAIZWI128F4247EFD,260.51873,0.218,-6.857,249.255,45.508,0
TRBHKSA128F92FDBEA,146.72934,1.106,-9.599,138.739,125.309,0
TRALGZN128F14956C4,158.71955,0.456,-11.145,145.119,65.93,0
TRBDNGV128F42895AE,128.96608,0.16,-11.863,123.356,102.151,0
TRAKOPE128F421CE6A,148.40118,2.032,-9.38,140.858,91.637,0
TRAFKDF12903D09556,156.29016,0.299,-9.322,146.692,108.417,0
TRAWQSO128F424E2F9,219.84608,0.136,-5.271,208.776,118.077,0
TRABLOM128F426BE8A,150.20363,2.426,-11.927,144.126,101.485,0
TRAIKBB128F428AD73,125.67465,0.334,-9.089,121.574,124.916,0
TRASZSF128F428B8F3,188.02893,0.398,-12.169,183.298,98.824,0
TRAZWDT128F4241B14,167.07873,0.0,-17.514,159.144,100.848,0
TRAXJVO128F42AC534,155.97669,0.125,-7.711,149.101,168.08,0
TRAEKCR128F14593A5,192.73098,0.415,-17.222,185.806,110.595,0
TRAWWHT128F426894E,222.74567,0.293,-14.519,216.776,108.054,0
TRAWIRJ128F145C918,223.26812,0.28,-13.664,205.241,119.657,0
TRAYWCQ128F149481D,140.79955,0.398,-12.271,138.019,150.486,0
TRARPGY128F425D48D,168.33261,2.31,-15.467,163.538,131.45,0
TRATFEN128F14A3A6E,214.96118,0.0,-10.736,203.198,170.897,0
TRBCPXR128F42AC544,160.62649,0.205,-6.94,152.143,131.074,0
TRAGUCZ128F426E5F6,282.53995,0.073,-13.027,278.727,90.81,0
TRAXCZO12903CB819D,234.16118,0.148,-6.748,219.15,127.257,0
TRAGXUZ128F9311745,80.03873,2.258,-13.136,74.449,196.303,0
TRAKAJM128F429BEED,268.7473,0.473,-13.505,259.576,96.243,0
TRALVKP128F42AD00C,140.69506,0.311,-12.361,132.969,99.66,0
TRBCRCV128F933860B,148.00934,0.341,-13.18,141.299,76.907,0
TRAWNDA128F9341C35,230.66077,0.322,-6.145,217.275,159.886,0
TRAYDYV128F42906E1,200.38485,0.357,-7.365,190.618,153.849,0
TRAPQNA128F93000EB,168.95955,0.177,-5.176,155.905,91.01,0
TRAROPS128F92F09A5,140.38159,0.0,-13.338,136.678,117.867,0
TRBDMCC128F9358267,239.20281,0.623,-11.084,233.848,115.304,0
TRAFNMJ128F92D15D8,148.24444,0.171,-15.354,137.009,108.128,0
TRALZBP128F4263E1A,217.15546,0.072,-8.809,207.401,128.087,0
TRANPLD128F92EB034,170.52689,0.0,-17.881,165.994,74.6,0
TRBCCLU12903CDBAC4,133.27628,0.136,-8.473,125.504,37.965,0
TRBHCQA128F149F192,202.08281,0.255,-6.424,187.339,117.142,0
TRARTME12903CE0253,150.9873,0.171,-16.627,150.987,102.707,0
TRAELXD128F14A8B21,187.53261,0.255,-12.324,177.673,95.781,0
TRANLJA128F42A5379,193.54077,0.288,-10.691,175.502,143.804,0
TRAXXQA128F9301855,194.5073,0.549,-12.061,188.947,130.02,0
TRAOXEU128F4299BE5,202.70975,0.171,-8.472,192.279,152.082,0
TRBEUVP128F427831E,191.55546,0.148,-9.618,182.462,94.895,0
TRALSZL128F4293B41,107.62404,0.0,-13.51,99.12,109.449,0
TRAQJOP128F424C3D2,170.81424,0.0,-9.681,164.809,107.584,0
TRAAMKI128F428537A,127.05914,0.322,-12.772,114.724,148.357,0
TRBBTDV128F934F6B1,173.06077,0.392,-11.761,165.941,124.291,0
TRBAXOL12903CDF117,116.21832,0.0,-19.365,106.022,90.726,0
TRACOGY128F92FE95C,228.5971,0.27,-12.584,220.085,81.809,0
TRACTHF128F4295A22,259.68281,0.119,-18.184,246.213,141.51,0
TRATTNI128E0799697,246.09914,3.698,-9.695,221.373,119.06,0
TRAAJJV128F42A2F99,241.10975,2.659,-18.114,230.429,152.267,0
TRAKXPE128F1462FF2,221.88363,1.1,-9.612,212.886,118.096,0
TRAWDZY128F9339D32,175.5424,0.467,-10.775,168.687,94.753,0
TRBBCZA128F146587F,124.83873,0.16,-14.479,114.672,79.091,0
