track_id,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,genre
TRBBTUV128F933D382,179.59138,0.0,2,0.277,-10.223,1,0.313,175.723,70.183,4,0.293,Rock
TRBBTSI128E0790E7B,184.99873,0.245,11,0.424,-15.726,1,0.583,174.817,141.257,4,0.517,Reggae
TRBBTUD128F42A10A3,206.44526,0.096,6,0.525,-4.46,0,0.553,203.767,114.929,3,1.0,Rock
TRBBTFO128EF345397,185.0771,0.669,0,0.524,-18.421,1,0.56,175.462,100.451,3,0.699,Country
TRBBTDV128F934F6B1,173.06077,0.392,8,0.637,-11.761,1,0.658,165.941,124.291,1,0.0,Country
TRBBTZW12903CE7495,207.80363,0.084,0,0.441,-7.132,1,0.5,186.805,141.705,4,0.472,Country
TRBBTLA128F4226907,225.90649,0.2,2,0.613,-7.254,1,0.648,211.447,89.013,3,0.706,Rock
TRBBRYI128F42370F5,253.51791,0.369,11,0.111,-11.213,0,0.248,247.147,119.52,4,0.202,Rock
TRBBRRS128F4256EEF,199.75791,0.276,1,0.0,-8.141,0,0.248,192.644,165.469,4,0.462,Reggae
TRBBRJN128F425C040,151.09179,4.528,2,0.263,-7.246,1,0.404,144.817,98.733,4,0.288,Pop
TRBBRFQ12903CE2997,179.09506,0.266,10,0.782,-6.543,1,0.684,172.286,157.177,4,0.472,Reggae
TRBBRVT128F428EA7A,220.70812,0.0,2,0.378,-21.763,1,0.512,201.874,141.706,1,0.125,New
TRBBRTY128F4260973,150.56934,0.0,6,0.405,-11.316,1,0.432,146.187,63.263,1,0.0,Rock
TRBBBKS12903CDFCF4,465.6322,0.554,0,0.67,-7.016,1,0.459,454.072,88.644,5,0.607,Ambient
TRBBBUG128F148D65B,266.47465,2.322,6,0.501,-3.952,0,0.612,260.412,112.486,4,0.529,Rock
TRBBBEA128F93391BA,174.23628,6.809,7,0.897,-14.689,1,0.79,163.817,77.006,4,0.0,Pop
TRBBBOA128F42624DA,92.18567,0.0,6,0.282,-3.565,0,0.322,92.186,151.184,1,0.0,Rock
TRBBBMT128F42A0A4E,237.92281,0.206,9,0.591,-9.093,1,0.289,230.475,101.871,4,1.0,Hip-Hop
TRBBBLA128F424E963,232.4371,0.0,11,0.625,-8.955,0,0.558,232.437,130.201,4,0.0,Electronica/Dance
TRBBOUN128F425A4E6,215.09179,0.155,8,0.626,-10.612,1,0.453,208.927,150.112,4,0.269,Pop
TRBBOPX12903D106F7,125.70077,0.0,2,0.01,-9.361,1,0.201,119.513,92.975,3,1.0,Pop
TRBBOKQ128F933AE7C,157.36118,0.328,8,0.566,-6.34,0,0.487,147.958,75.452,1,0.0,Rock
TRBBOPV12903CFB50F,177.81506,0.305,7,0.797,-9.54,1,0.709,168.826,114.047,4,0.148,Pop
TRBBOJM12903CD1BDD,185.70404,0.329,7,0.483,-13.207,0,0.59,177.429,138.256,4,0.0,Jazz
TRBBOFH128F14A2A46,411.92444,0.402,8,0.381,-9.633,1,0.396,402.93,237.466,4,0.352,R&B
TRBBOUO128F92D246B,315.14077,0.0,0,0.393,-14.334,1,0.438,305.993,106.552,4,0.598,Jazz
