track_id,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence
TRBBTOM128F42309C2,136.77669,0.473,5,0.754,-9.271,1,0.532,124.099,155.611,3,1.0
TRBBTUV128F933D382,179.59138,0.0,2,0.277,-10.223,1,0.313,175.723,70.183,4,0.293
TRBBTSI128E0790E7B,184.99873,0.245,11,0.424,-15.726,1,0.583,174.817,141.257,4,0.517
TRBBTUD128F42A10A3,206.44526,0.096,6,0.525,-4.46,0,0.553,203.767,114.929,3,1.0
TRBBTFO128EF345397,185.0771,0.669,0,0.524,-18.421,1,0.56,175.462,100.451,3,0.699
TRBBTDV128F934F6B1,173.06077,0.392,8,0.637,-11.761,1,0.658,165.941,124.291,1,0.0
TRBBTQB128F92FAB03,256.1824,0.078,0,1.0,-3.163,1,0.77,250.834,201.494,4,0.819
TRBBTJG12903CD5B47,409.0771,3.111,7,0.259,-13.132,1,0.226,400.945,103.022,3,0.792
TRBBTZW12903CE7495,207.80363,0.084,0,0.441,-7.132,1,0.5,186.805,141.705,4,0.472
TRBBTLA128F4226907,225.90649,0.2,2,0.613,-7.254,1,0.648,211.447,89.013,3,0.706
TRBBTJH128F1476BC7,245.26322,2.183,10,0.421,-5.717,0,0.442,239.409,100.003,4,1.0
TRBBRIQ128F9353B5C,160.60036,0.09,7,0.92,-11.536,1,0.809,160.6,125.45,5,0.498
TRBBREF128F933CCDD,227.082,0.0,4,0.038,-4.872,0,0.0,224.253,130.011,5,1.0
TRBBRYI128F42370F5,253.51791,0.369,11,0.111,-11.213,0,0.248,247.147,119.52,4,0.202
TRBBRRS128F4256EEF,199.75791,0.276,1,0.0,-8.141,0,0.248,192.644,165.469,4,0.462
TRBBRXN12903CBAE27,202.29179,0.177,9,0.571,-4.431,1,0.36,202.292,140.197,4,0.596
TRBBRQE12903C9E587,210.85995,0.0,7,0.844,-12.153,1,0.786,210.86,110.056,4,0.0
TRBBRJN128F425C040,151.09179,4.528,2,0.263,-7.246,1,0.404,144.817,98.733,4,0.288
TRBBRXA12903CAB6C0,130.76853,0.27,0,0.232,-7.461,1,0.552,124.505,123.491,4,0.478
TRBBRFQ12903CE2997,179.09506,0.266,10,0.782,-6.543,1,0.684,172.286,157.177,4,0.472
TRBBRME128F4276C73,230.37342,0.0,5,0.631,-11.349,1,0.522,222.47,137.686,4,0.0
TRBBRVT128F428EA7A,220.70812,0.0,2,0.378,-21.763,1,0.512,201.874,141.706,1,0.125
TRBBRTY128F4260973,150.56934,0.0,6,0.405,-11.316,1,0.432,146.187,63.263,1,0.0
TRBBBKS12903CDFCF4,465.6322,0.554,0,0.67,-7.016,1,0.459,454.072,88.644,5,0.607
TRBBBUG128F148D65B,266.47465,2.322,6,0.501,-3.952,0,0.612,260.412,112.486,4,0.529
TRBBBEA128F93391BA,174.23628,6.809,7,0.897,-14.689,1,0.79,163.817,77.006,4,0.0
TRBBBOA128F42624DA,92.18567,0.0,6,0.282,-3.565,0,0.322,92.186,151.184,1,0.0
TRBBBMT128F42A0A4E,237.92281,0.206,9,0.591,-9.093,1,0.289,230.475,101.871,4,1.0
TRBBBFO128F931535D,336.24771,2.107,0,0.954,-12.624,1,0.726,314.427,126.946,3,0.207
TRBBBVC128F429AB66,161.38404,1.209,8,0.455,-14.281,1,0.673,155.783,121.56,1,0.0
TRBBBLA128F424E963,232.4371,0.0,11,0.625,-8.955,0,0.558,232.437,130.201,4,0.0
TRBBOUN128F425A4E6,215.09179,0.155,8,0.626,-10.612,1,0.453,208.927,150.112,4,0.269
TRBBOPX12903D106F7,125.70077,0.0,2,0.01,-9.361,1,0.201,119.513,92.975,3,1.0
TRBBOBQ12903CC5186,250.53995,0.0,0,0.67,-12.685,1,0.63,241.952,137.23,4,0.341
TRBBOKQ128F933AE7C,157.36118,0.328,8,0.566,-6.34,0,0.487,147.958,75.452,1,0.0
TRBBOME12903CC3862,222.77179,0.0,0,0.535,-7.858,1,0.449,211.197,194.691,7,0.505
TRBBOPV12903CFB50F,177.81506,0.305,7,0.797,-9.54,1,0.709,168.826,114.047,4,0.148
TRBBOTI12903CD9CBB,205.45261,0.0,8,0.317,-12.538,1,0.476,193.562,116.618,5,0.182
TRBBOJM12903CD1BDD,185.70404,0.329,7,0.483,-13.207,0,0.59,177.429,138.256,4,0.0
TRBBOBO128F425FDFC,275.74812,0.355,7,0.652,-9.799,0,0.614,253.37,132.786,1,0.0
TRBBOFH128F14A2A46,411.92444,0.402,8,0.381,-9.633,1,0.396,402.93,237.466,4,0.352
TRBBOUO128F92D246B,315.14077,0.0,0,0.393,-14.334,1,0.438,305.993,106.552,4,0.598
TRBBDFG128F4229DE2,397.16526,0.636,8,0.34,-18.986,0,0.228,385.997,126.71,4,0.421
TRBBDXO128F14A4737,136.12363,0.34,10,0.095,-11.298,0,0.505,125.463,142.963,4,0.0
TRBBDJI12903CF10AB,277.21098,0.0,8,0.621,-5.967,0,0.56,274.39,115.029,4,0.929
TRBBDDG128F14743AE,157.93587,0.0,7,0.284,-11.051,0,0.21,149.972,121.852,4,0.576
TRBBDZF128F424BE45,238.23628,0.177,4,0.349,-7.083,0,0.414,234.249,163.99,4,0.638
TRBBDBV12903D00668,213.9424,0.241,5,0.404,-10.275,0,0.586,207.435,77.827,4,0.633
TRBBDPA12903CCCA06,277.75955,0.0,2,0.396,-5.903,1,0.358,269.084,159.886,4,0.0
TRBBDLG128F9308703,201.42975,0.241,5,0.744,-18.994,0,0.643,196.69,161.804,4,0.73
TRBBDAH128F92E625E,174.91546,0.243,7,0.572,-6.567,1,0.219,172.159,191.548,4,0.163
TRBBDSZ128F4273088,269.37424,2.862,10,0.426,-7.7,0,0.494,260.627,185.592,3,0.0
TRBBDIU128F1496C52,232.12363,0.253,2,0.46,-8.714,1,0.511,221.362,89.672,1,0.976
TRBBJTX12903CFC111,337.81506,0.0,6,0.057,-6.466,0,0.135,330.072,125.032,4,0.582
TRBBJFZ12903D114AF,115.17342,0.0,2,0.759,-17.876,1,0.718,109.453,105.101,5,0.971
TRBBJBO128F92EB2C5,215.43138,10.733,10,0.208,-9.171,1,0.444,201.195,187.401,4,0.025
TRBBJFO12903D074EE,153.57342,0.374,2,0.166,-14.122,1,0.36,150.262,108.301,4,1.0
TRBBJKY128F931FB24,128.93995,0.0,10,0.283,-9.936,1,0.451,128.94,136.749,1,0.0
TRBBJFM128F427ADEC,249.96526,0.775,4,0.525,-6.872,0,0.581,245.191,120.253,3,1.0
TRBBJPY128F92F31E0,316.73424,0.0,7,0.383,-27.336,1,0.072,290.395,165.476,4,0.108
TRBBJUQ128F92D5776,12.85179,0.0,0,0.297,-4.358,1,0.692,12.852,157.376,3,0.0
TRBBJLK128F427FCDE,148.71465,4.569,9,0.538,-14.254,0,0.502,144.184,192.297,4,0.0
TRBBJJI128F4299711,261.82485,0.248,0,0.394,-6.124,1,0.306,252.825,106.549,3,0.069
TRBBJVD128E07826F3,339.80036,0.102,8,0.565,-35.277,0,0.413,328.829,152.084,3,0.292
TRBBJST12903CEC7DC,152.05832,0.977,7,0.599,-15.79,0,0.535,147.139,232.436,4,0.582
TRBBJAJ128F425DA40,229.61587,0.316,7,0.034,-3.782,0,0.455,218.825,92.099,4,0.855
TRBBJVE128F9303F10,213.96853,0.438,11,0.614,-9.041,1,0.624,194.101,86.958,4,0.343
TRBBWIP128F4287400,243.17342,3.901,8,0.042,-11.996,1,0.242,230.876,160.089,4,0.484
TRBBWSE128F9313963,237.16526,0.0,7,0.444,-6.177,1,0.429,222.047,142.978,4,0.243
TRBBWKF128F934E709,203.93751,0.0,2,0.751,-19.454,1,0.881,197.985,98.442,4,0.672
TRBBWCP128F935F6DB,138.86649,0.0,9,0.481,-16.059,1,0.509,138.866,104.284,4,0.0
TRBBWNS128F426F760,346.51383,0.235,7,0.18,-5.802,1,0.298,328.771,88.344,5,0.307
TRBBWKS128F424E84A,920.76363,5.416,6,0.608,-16.676,0,0.683,854.361,134.028,3,0.345
TRBBWDJ128F42595D5,142.23628,0.0,9,0.756,-14.05,0,0.659,133.596,94.838,4,0.536
TRBBZFO128F932CD27,166.21669,2.252,5,0.345,-8.235,1,0.431,161.686,124.996,4,0.285
TRBBZWC128F93172DA,136.202,0.334,0,0.038,-17.977,0,0.53,120.419,70.296,4,0.81
TRBBZJW12903CF71A6,405.10649,0.0,10,0.822,-5.988,1,0.606,405.106,127.995,4,0.761
TRBBZOG128F422B02B,119.40526,0.183,7,0.632,-10.775,1,0.71,110.196,101.306,3,0.69
TRBBZSO128F4257B30,498.38975,6.473,4,0.927,-14.037,0,0.839,461.166,150.867,4,0.483
TRBBZAE128F92FDC05,272.14322,0.978,9,0.783,-9.159,0,0.325,260.777,118.834,4,0.874
TRBBZRF128F9321407,165.3024,0.131,9,0.795,-2.694,1,0.582,156.793,120.944,4,0.688
TRBBZXJ12903CD3E8D,305.10975,0.0,10,0.283,-9.636,0,0.263,287.318,130.72,4,0.273
TRBBZJP128F4287992,244.45342,4.18,9,0.393,-9.015,0,0.302,231.288,160.017,4,0.615
TRBBZCM12903CDDDA5,178.78159,0.272,7,0.3,-5.362,1,0.484,165.251,117.674,5,0.639
TRBBZTM12903CB84F3,170.4224,0.0,1,0.62,-5.681,1,0.516,160.833,130.164,5,0.614
TRBBZQM128F931A529,194.40281,2.276,0,0.958,-8.351,1,0.761,183.948,164.359,4,0.136
TRBBIJM12903C9AB35,390.00771,0.0,6,0.001,-5.286,1,0.083,387.024,130.039,4,0.638
TRBBICL128F42ADFD3,120.65914,2.351,6,0.554,-9.628,1,0.526,109.47,105.902,4,0.878
TRBBIYX128F1497FF2,282.14812,3.524,10,0.44,-23.593,0,0.536,268.87,47.97,1,0.0
TRBBILZ12903CB422C,153.23383,0.072,8,0.683,-6.754,1,0.528,136.353,131.639,1,0.0
TRBBIHP128F92E40CA,379.402,0.0,11,0.249,-7.224,0,0.445,374.474,131.986,4,0.0
TRBBIPG128F92FA94D,221.20444,0.259,1,0.736,-9.467,1,0.689,210.495,134.192,4,0.532
TRBBIGE128F1491C45,298.39628,0.0,0,0.214,-27.685,0,0.227,294.203,66.155,1,0.461
TRBBIBE128F4226E29,201.24689,0.821,0,0.536,-8.146,0,0.441,191.048,111.223,5,0.951
TRBBILK128F14A2FD6,329.35138,2.844,2,0.078,-17.816,1,0.516,304.21,139.905,4,0.289
TRBBISD12903CF8B3E,441.99138,0.0,1,1.0,-5.639,1,0.829,434.289,136.981,4,0.0
TRBBIYI128F92E13CC,147.64363,0.328,2,0.397,-8.441,0,0.161,142.501,101.241,4,0.819
TRBBVFB128F1461507,145.00526,0.449,11,0.707,-10.124,0,0.7,136.371,106.145,1,0.0
TRBBVDP128F92F28CF,126.14485,0.374,9,0.544,-6.014,1,0.406,120.041,90.787,4,0.0
TRBBVYO128F146AEDC,261.32853,0.38,0,0.626,-13.435,1,0.564,256.139,88.947,4,0.566
TRBBVBM128F92D07F1,238.21016,0.316,0,0.709,-6.339,1,0.708,231.665,149.765,4,0.862
TRBBVBM128F4276D82,274.70322,0.0,6,0.577,-15.838,1,0.471,266.315,116.239,4,0.408
TRBBVAH128F4270300,108.2771,0.264,0,0.647,-6.929,1,0.587,102.951,160.267,3,0.858
TRBBVDW128F932262A,156.52526,0.27,3,0.717,-14.355,1,0.655,148.753,94.771,3,0.768
TRBBVNR128E078E1E4,196.362,0.0,7,0.521,-5.065,0,0.442,191.925,204.304,4,0.505
TRBBVSO128F9341C12,181.86404,0.328,11,0.405,-7.914,1,0.427,163.358,40.384,1,0.0
TRBBVPM12903CDB094,223.52934,0.107,0,0.007,-4.518,1,0.296,220.967,129.986,4,0.741
TRBBVYI128F4291603,142.65424,0.34,0,0.517,-5.235,1,0.473,139.471,106.002,4,0.396
TRBBVTH128F92F3B6F,169.09016,0.0,7,0.379,-3.215,1,0.576,167.079,141.961,4,0.0
TRBBVFT128F42ABB02,575.58159,0.0,1,0.827,-17.058,1,0.61,536.149,149.423,3,0.338
TRBBVXL128F427C3F2,276.21832,0.253,5,0.468,-7.101,1,0.391,262.037,97.431,4,0.0
TRBBHQJ128F92CC610,338.9122,0.0,4,0.828,-5.296,0,0.678,338.912,167.831,4,0.224
TRBBHQO128F9341FC8,153.57342,0.381,0,0.065,-5.79,1,0.379,149.92,140.823,4,0.159
TRBBHLO128F9302EA4,263.83628,4.772,3,0.775,-6.315,1,0.765,250.915,138.504,4,0.73
TRBBHFE12903CA5EEB,225.67138,0.13,0,0.958,-6.737,1,0.764,218.662,100.532,4,0.183
TRBBHUW128F429476F,148.29669,0.369,9,0.59,-8.315,0,0.446,141.798,87.844,4,0.474
TRBBHPQ128F145A7F8,216.86812,0.066,11,0.335,-8.698,0,0.437,205.659,134.929,4,0.219
TRBBHUR128F92FDBE2,172.09424,0.083,3,0.688,-13.559,1,0.65,163.039,121.923,1,0.0
TRBBHHP128EF365DA0,166.3473,0.328,7,0.648,-6.832,1,0.483,154.564,93.301,4,0.0
TRBBHZV128F429A392,265.24689,0.2,2,0.364,-6.611,0,0.553,265.247,56.703,1,0.0
TRBBHWG128F4249F32,370.75546,0.146,5,0.763,-8.036,1,0.604,365.035,219.131,7,1.0
TRBBYYL128F4236EBC,313.15546,0.479,11,0.533,-3.528,1,0.294,301.54,98.927,4,1.0
TRBBYDT128F14805B4,174.23628,0.0,11,0.237,-9.79,0,0.351,174.236,206.941,7,0.755
TRBBYWM128F9324A8B,179.93098,0.328,2,0.503,-10.333,1,0.523,176.64,113.445,4,0.012
TRBBYQM128F1468524,168.54159,0.345,3,0.138,-16.797,1,0.34,164.583,112.911,1,0.548
TRBBYKP128F92D60F0,240.40444,0.306,7,0.646,-17.271,1,0.766,232.966,123.784,3,1.0
TRBBYFJ128F42A22D4,108.19873,0.121,0,0.424,-13.323,1,0.459,104.455,95.264,4,0.372
TRBBYGX12903CEF0BC,280.2673,0.508,7,0.667,-8.034,1,0.476,271.099,195.995,7,0.387
TRBBYOI128F4256732,133.25016,0.241,10,0.577,-13.77,0,0.503,124.024,207.238,4,0.0
TRBBYST12903CE82DB,226.61179,0.0,6,0.052,-7.765,1,0.38,226.612,152.34,4,0.939
TRBBAIC12903D11771,338.96444,0.125,11,0.704,-7.607,1,0.634,336.759,97.955,5,1.0
TRBBANU128F422B87B,288.49587,2.061,0,0.929,-11.471,1,0.673,288.496,57.639,3,0.622
TRBBANR128F4277C5B,406.85669,0.0,8,0.01,-8.539,1,0.295,385.416,146.826,4,0.691
TRBBAQJ128F92F1336,276.45342,0.0,0,0.662,-12.983,1,0.54,270.449,101.971,5,0.675
TRBBALB12903CAC0B5,254.17098,7.947,0,0.53,-6.632,0,0.398,241.708,129.983,4,0.742
