zcr_sum,zcr_mean,zcr_var,chroma_mean,chroma_var,rms_mean,rms_var,spectral_c_mean,spectral_c_var,spectral_bandwith_mean,spectral_bandwith_var,rolloff_mean,rolloff_var,harmonic_mean,harmonic_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
35042,0.0529500116350405,0.0501463079028895,0.28052026,0.105663024,0.124684155,0.004813125,1648.8848320568998,712191.5513865657,2190.046420814181,185210.71185276765,3760.300128697796,4159729.928493348,8.1513326e-07,0.016771028,129.19921875,-233.72897,3685.9973,101.19028,885.1662,17.647953,375.19736,23.734175,219.077,2.082544,227.48592,25.9364,135.567,-16.956388,339.19635,15.084955,113.550705,-22.273956,98.33264,4.381612,122.683044,-23.201656,167.3735,-6.0505795,81.708855,-5.0679283,80.8433,1.0592705,99.96532,-5.7868657,88.8538,-8.313065,84.22727,-11.38215,98.36215,-6.7243814,96.60228,-10.0169525,73.97155,-14.028803,77.85362,0
34067,0.0514767435183758,0.0488268883951191,0.26491037,0.091197476,0.113129914,0.00419274,1324.5278253934116,171556.88427375053,1827.850131707945,78336.96974358436,2711.4849187935038,1076354.55766458,-5.6321637e-06,0.012679606,107.666015625,-209.80392,1968.6526,124.46476,541.9335,10.309394,662.1497,47.016357,148.4147,6.478227,101.90166,15.41512,146.17114,-2.0159416,69.43244,6.7262187,76.019615,-21.543222,96.41771,10.720835,95.860405,-5.5328465,90.6517,-2.1957276,59.19819,-3.0491858,52.314415,8.643512,71.75554,-0.307013,68.60345,-0.63291776,88.57952,-2.9335587,97.390205,-1.7062991,104.24756,-1.7673151,88.82407,-7.755139,113.835785,0
77661,0.1173492053418435,0.1035783693474813,0.3119012,0.09269808,0.10622777,0.0008653153,2280.1541864340825,422191.99474730506,2119.7941496262683,36002.271546960954,4732.98305856656,781039.2693244062,7.378111e-06,0.0060941805,112.34714673913044,-144.92339,1826.8666,95.732994,711.26276,-21.616442,419.7297,49.62627,186.21233,-29.88752,267.99338,29.351145,146.09868,-18.850819,248.81926,17.902308,91.90007,-9.670823,107.87045,5.516722,77.3131,-9.557408,74.18587,6.359987,108.233345,-21.088718,79.01964,2.4660542,90.44999,-9.539148,70.776215,-1.4058187,79.28722,-9.312422,90.82838,5.1551495,220.45033,-8.118464,102.73824,-2.4402168,109.62964,0
52454,0.0792603136323387,0.072978116315242,0.27396762,0.09231063,0.08128055,0.004346177,1817.230590319968,298141.42441443686,1973.7920387975755,114140.14449366354,3943.8319655416185,1366784.3467715925,-4.361861e-06,0.007221093,129.19921875,-213.26424,6132.9727,115.16476,798.2638,-11.69817,669.0846,39.015358,350.93396,-20.34833,531.99756,13.082702,278.2447,-9.182701,126.45182,9.017152,67.964165,-14.104312,110.09561,4.2712545,92.602684,-6.0507803,84.85939,3.7858355,104.41364,0.22263563,76.34565,-5.106882,85.42631,-0.41015333,103.98576,-1.1793449,59.323406,-1.914708,58.461433,-2.2936609,83.12304,2.8842604,77.04225,-4.2338796,91.44654,0
23406,0.0353675010652861,0.0341166409336831,0.2553486,0.097140804,0.08582264,0.002629058,1151.310495419208,514648.4757531796,1709.5320968704373,330245.41756701627,2312.1797282845127,3920015.412407194,1.2143203e-06,0.009102618,117.45383522727272,-301.70804,5065.2104,111.53328,593.24805,21.896053,301.5973,16.15057,242.01083,8.19879,283.87656,22.081917,138.29482,-8.601798,280.92075,1.4827528,120.92413,-17.077759,113.16592,-8.343712,113.457,-17.01078,106.476616,-10.576027,89.17511,-15.687029,78.270836,-12.606835,82.56499,-12.262773,91.052055,-14.563126,145.14175,-10.112008,142.63908,-5.792038,78.77299,-7.775544,88.69115,-7.1875286,137.39499,0
14380,0.0217288159155265,0.0212566744744357,0.37769488,0.09638859,0.06586,0.0018039934,570.3499043432636,104947.12163877828,995.505853611704,84704.57757973978,929.3001037739268,499972.2079548395,7.6125673e-07,0.0053168465,143.5546875,-350.35263,2656.7532,169.53174,622.58655,31.771353,316.68668,16.71844,213.50073,28.658941,188.21754,19.24618,68.66772,7.845076,40.605217,10.037885,36.637596,4.7406454,40.665188,2.9217064,36.67361,3.900229,46.568295,1.8129543,42.355606,-5.969145,35.479504,-5.2570925,33.864666,-0.23415942,38.70503,-1.7799479,35.267666,-3.709091,34.095886,0.17281216,34.522312,2.071619,44.243015,-2.8897855,61.440556,0
38549,0.0582492437223667,0.054856269328139,0.37784892,0.09528022,0.13184513,0.0021371827,1612.6456366689215,781495.8506643961,1971.699594229281,244991.49190373663,3468.7358953560038,3612084.240749024,-2.0677944e-06,0.012878788,143.5546875,-177.56758,4502.785,115.369,1385.5109,9.970585,681.9322,54.043877,320.77292,7.624313,330.54514,28.312319,180.94827,-9.054929,181.69342,20.04951,112.120964,-15.044514,150.55998,6.2095737,107.550026,-5.692567,109.24429,1.3833519,134.79707,-5.8288145,84.93274,5.0139456,102.60085,-0.751255,73.9893,5.0595355,73.270775,-5.085073,79.34864,-2.8075423,66.85071,2.4244502,68.80809,-5.37811,64.35921,0
59632,0.0901065890594354,0.0819873916675094,0.42442203,0.085151926,0.17591809,0.003568296,1886.9577813598776,253389.3190254082,1913.2410486745823,123436.92674711064,3828.2471269576567,1247015.7715712755,-2.6589353e-07,0.014279321,92.28515625,-92.73328,3131.9707,115.32343,522.344,-35.068222,408.58557,57.875343,331.2538,1.8522309,301.6893,26.613142,152.54677,-14.536868,149.01704,22.12833,109.92517,-8.207463,72.00361,11.016058,103.81337,-5.6494255,79.72065,7.278642,70.31647,-10.204165,56.593014,1.3267536,67.24511,-4.1071086,69.16039,0.97499365,48.08975,-6.5528083,35.689774,-0.68916047,46.26974,-2.1258135,47.502396,-1.5101185,50.215633,0
31736,0.0479544994363805,0.0456548654201866,0.32131013,0.10331619,0.1010843,0.0032309708,1046.775126562816,291445.5028508078,1481.055846630086,70296.72479551661,1831.2215641313803,1348269.1287348608,-8.446439e-06,0.00832287,99.38401442307692,-264.67123,6340.7183,138.85434,1001.429,11.16733,1283.5443,48.523926,371.25842,14.904313,248.1461,20.586437,130.0128,3.2061763,119.96546,1.2635795,104.41091,-15.839373,95.395905,15.975112,85.30514,3.358218,79.1454,-1.506641,71.932945,1.8969209,70.0342,6.3134995,68.5041,-0.995984,82.13329,-2.414784,89.51523,-3.6791573,93.94478,0.49927172,119.202965,5.04406,117.73886,-0.78631663,148.49113,0
69150,0.1044887079665273,0.0935708178740131,0.35681704,0.08764,0.16190661,0.0047905864,2068.3321715923803,283340.98021349794,2033.958819917369,116351.66958836606,4231.815658533933,1130991.0146468694,-5.459314e-06,0.013774456,107.666015625,-95.44059,3216.1946,105.23433,612.76733,-26.953482,376.11652,60.816486,117.35528,-4.854668,152.49684,21.543472,167.84456,-13.520524,118.71464,12.135531,103.32625,-20.231928,90.339134,12.156194,85.81288,-5.2262135,73.183075,10.267819,61.97443,-9.4598,66.39126,3.8689907,67.318054,-10.188684,59.28786,3.5827925,53.05044,-3.1101313,48.43398,0.2006278,57.98104,0.8418171,66.159874,-3.4198139,60.704742,0
